name,comm_code,census_year,population,occupied dwellings,persons per unit
SHAGANAPPI,SHG,04/01/1986 12:00:00 AM,1666,781,2.13
BONAVISTA DOWNS,BDO,04/01/1984 12:00:00 AM,1233,359,3.43
CURRIE BARRACKS,CUR,04/01/2003 12:00:00 AM,81,,
BANKVIEW,BNK,04/01/1973 12:00:00 AM,5034,2284,2.2
VALLEY RIDGE,VAL,04/01/1976 12:00:00 AM,0,0,0
CRANSTON,CRA,04/01/1972 12:00:00 AM,0,0,0
MARLBOROUGH PARK,MPK,04/01/1969 12:00:00 AM,0,0,0
SUNDANCE,SDC,04/01/2017 12:00:00 AM,9994,3345,2.99
GLAMORGAN,GLA,04/01/1997 12:00:00 AM,6546,2801,2.34
ACADIA,ACA,04/01/2008 12:00:00 AM,10697,4848,2.21
HAMPTONS,HAM,04/01/1971 12:00:00 AM,0,0,0
SHAWNEE SLOPES,SHS,04/01/2002 12:00:00 AM,1658,612,2.71
SADDLE RIDGE,SAD,04/01/2005 12:00:00 AM,5177,1557,3.32
WEST SPRINGS,WSP,04/01/2013 12:00:00 AM,8616,2748,3.14
CHAPARRAL,CHA,04/01/1998 12:00:00 AM,1647,520,3.17
MANCHESTER,MAN,04/01/1977 12:00:00 AM,503,198,2.54
PALLISER,PAL,04/01/2009 12:00:00 AM,3220,1642,1.96
RENFREW,REN,04/01/1974 12:00:00 AM,6531,2301,2.84
COVENTRY HILLS,COV,04/01/1970 12:00:00 AM,0,0,0
BRENTWOOD,BRE,04/01/1981 12:00:00 AM,7650,2508,3.05
AUBURN BAY,AUB,04/01/2013 12:00:00 AM,8885,2925,3.04
MARTINDALE,MRT,04/01/1981 12:00:00 AM,13,4,3.25
ROCKY RIDGE,ROC,04/01/1994 12:00:00 AM,135,50,2.7
PUMP HILL,PUM,04/01/2006 12:00:00 AM,1806,552,3.27
NORTH HAVEN UPPER,NHU,04/01/1985 12:00:00 AM,831,243,3.42
BOWNESS,BOW,04/01/1994 12:00:00 AM,12110,4756,2.55
WOODBINE,WBN,04/01/1970 12:00:00 AM,50,15,3.33
BRENTWOOD,BRE,04/01/1987 12:00:00 AM,6700,2509,2.67
COPPERFIELD,CPF,04/01/1994 12:00:00 AM,0,0,0
BRIDGELAND/RIVERSIDE,BRD,04/01/2012 12:00:00 AM,5594,2807,1.99
GREENVIEW,GRV,04/01/1971 12:00:00 AM,1258,295,4.26
LINCOLN PARK,LPK,04/01/2001 12:00:00 AM,1525,782,1.95
WINDSOR PARK,WND,04/01/1971 12:00:00 AM,2773,1029,2.69
COPPERFIELD,CPF,04/01/1992 12:00:00 AM,0,0,0
RUTLAND PARK,RUT,04/01/1980 12:00:00 AM,2838,880,3.23
MARTINDALE,MRT,04/01/2011 12:00:00 AM,12988,3652,3.56
WESTGATE,WGT,04/01/1990 12:00:00 AM,3547,1329,2.67
TUXEDO PARK,TUX,04/01/2016 12:00:00 AM,4988,2414,2.07
QUEENS PARK VILLAGE,QPK,04/01/1983 12:00:00 AM,0,0,0
CLIFF BUNGALOW,CLI,04/01/1991 12:00:00 AM,2071,1279,1.62
SHAWNEE SLOPES,SHS,04/01/2004 12:00:00 AM,1651,613,2.69
DOVER,DOV,04/01/1986 12:00:00 AM,10952,3468,3.16
BEDDINGTON HEIGHTS,BED,04/01/2008 12:00:00 AM,11854,4189,2.83
SOUTHVIEW,SOV,04/01/1973 12:00:00 AM,3193,848,3.77
OAKRIDGE,OAK,04/01/2005 12:00:00 AM,6112,2270,2.69
RENFREW,REN,04/01/1983 12:00:00 AM,5894,2619,2.25
SADDLE RIDGE,SAD,04/01/2015 12:00:00 AM,18994,4710,4.03
UNIVERSITY OF CALGARY,UOC,04/01/1975 12:00:00 AM,800,249,3.21
EAGLE RIDGE,EAG,04/01/2015 12:00:00 AM,534,100,5.34
COVENTRY HILLS,COV,04/01/1977 12:00:00 AM,0,0,0
QUEENS PARK VILLAGE,QPK,04/01/1994 12:00:00 AM,354,162,2.19
PANORAMA HILLS,PAN,04/01/1998 12:00:00 AM,533,166,3.21
SIGNAL HILL,SIG,04/01/1986 12:00:00 AM,55,13,4.23
DEER RUN,DRN,04/01/1979 12:00:00 AM,763,242,3.15
CHRISTIE PARK,CHR,04/01/1982 12:00:00 AM,20,8,2.5
WINDSOR PARK,WND,04/01/1997 12:00:00 AM,3633,2083,1.74
INGLEWOOD,ING,04/01/1997 12:00:00 AM,2695,1364,1.98
MIDNAPORE,MID,04/01/1982 12:00:00 AM,6647,2047,3.25
CITYSCAPE,CSC,04/01/1990 12:00:00 AM,0,0,0
ROSSCARROCK,RCK,04/01/2010 12:00:00 AM,3258,1438,2.27
GARRISON GREEN,GAG,04/01/1977 12:00:00 AM,797,228,3.5
STRATHCONA PARK,STR,04/01/2017 12:00:00 AM,7043,2404,2.93
BRIDLEWOOD,BRI,04/01/1993 12:00:00 AM,24,9,2.67
COUNTRY HILLS VILLAGE,CHV,04/01/2012 12:00:00 AM,2615,1427,1.83
MEADOWLARK PARK,MEA,04/01/2012 12:00:00 AM,623,261,2.39
WESTGATE,WGT,04/01/1976 12:00:00 AM,3599,1000,3.6
HILLHURST,HIL,04/01/2016 12:00:00 AM,6737,2648,2.54
PALLISER,PAL,04/01/1978 12:00:00 AM,3040,1064,2.86
PANORAMA HILLS,PAN,04/01/2005 12:00:00 AM,8129,2524,3.22
THORNCLIFFE,THO,04/01/1998 12:00:00 AM,9539,3617,2.64
PARKDALE,PKD,04/01/1975 12:00:00 AM,2058,726,2.83
COUNTRY HILLS,COU,04/01/1972 12:00:00 AM,0,0,0
OAKRIDGE,OAK,04/01/2016 12:00:00 AM,5734,2245,2.55
MISSION,MIS,04/01/1975 12:00:00 AM,3468,2018,1.72
DIAMOND COVE,DIA,04/01/2012 12:00:00 AM,699,267,2.62
ALBERT PARK/RADISSON HEIGHTS,ALB,04/01/2004 12:00:00 AM,6098,2384,2.56
WILLOW PARK,WIL,04/01/2014 12:00:00 AM,5440,2242,2.43
RENFREW,REN,04/01/1979 12:00:00 AM,5913,2346,2.52
CHAPARRAL,CHA,04/01/1971 12:00:00 AM,0,0,0
GLENDALE,GDL,04/01/1988 12:00:00 AM,2763,1061,2.6
ERLTON,ERL,04/01/1973 12:00:00 AM,894,339,2.64
SUNDANCE,SDC,04/01/1984 12:00:00 AM,1724,589,2.93
RIVERBEND,RIV,04/01/2004 12:00:00 AM,10488,3443,3.05
ARBOUR LAKE,ARB,04/01/1996 12:00:00 AM,3151,1165,2.7
BONAVISTA DOWNS,BDO,04/01/2007 12:00:00 AM,963,356,2.71
CHINOOK PARK,CHK,04/01/2017 12:00:00 AM,1663,568,2.93
DEER RUN,DRN,04/01/2003 12:00:00 AM,6096,2077,2.94
CHAPARRAL,CHA,04/01/1989 12:00:00 AM,0,0,0
SILVER SPRINGS,SIL,04/01/1968 12:00:00 AM,145,40,3.63
HAWKWOOD,HAW,04/01/2001 12:00:00 AM,10978,3297,3.33
WOODLANDS,WOO,04/01/1993 12:00:00 AM,6669,2199,3.03
MAYLAND HEIGHTS,MAL,04/01/1995 12:00:00 AM,6032,2468,2.44
ELBOW PARK,EPK,04/01/1989 12:00:00 AM,3269,1164,2.81
RUTLAND PARK,RUT,04/01/2005 12:00:00 AM,2284,950,2.4
BRAESIDE,BRA,04/01/1968 12:00:00 AM,1105,280,3.95
MAPLE RIDGE,MPL,04/01/1994 12:00:00 AM,2302,805,2.86
NOLAN HILL,NOL,04/01/1988 12:00:00 AM,0,0,0
GARRISON WOODS,GAW,04/01/1997 12:00:00 AM,0,0,0
DOWNTOWN WEST END,DNW,04/01/1979 12:00:00 AM,328,225,1.46
LAKEVIEW,LKV,04/01/1982 12:00:00 AM,7094,2313,3.07
SCARBORO,SCA,04/01/1983 12:00:00 AM,957,331,2.89
BANFF TRAIL,BNF,04/01/2013 12:00:00 AM,4119,1817,2.27
BEL-AIRE,BEL,04/01/1981 12:00:00 AM,485,137,3.54
CASTLERIDGE,CAS,04/01/2002 12:00:00 AM,6412,1816,3.53
SOMERSET,SOM,04/01/2002 12:00:00 AM,7086,2616,2.71
WEST SPRINGS,WSP,04/01/2001 12:00:00 AM,773,280,2.76
FOREST HEIGHTS,FHT,04/01/2017 12:00:00 AM,6406,2124,3.02
CORNERSTONE,CNS,04/01/1984 12:00:00 AM,0,0,0
CAMBRIAN HEIGHTS,CAM,04/01/1980 12:00:00 AM,2613,881,2.97
MOUNT PLEASANT,MOP,04/01/1980 12:00:00 AM,4756,2158,2.2
PARKDALE,PKD,04/01/2017 12:00:00 AM,2565,984,2.61
MAYLAND HEIGHTS,MAL,04/01/1997 12:00:00 AM,6088,2539,2.4
MIDNAPORE,MID,04/01/1984 12:00:00 AM,7048,2262,3.12
FAIRVIEW,FAI,04/01/1985 12:00:00 AM,4168,1497,2.78
MISSION,MIS,04/01/1969 12:00:00 AM,3771,1803,2.09
GREENWOOD/GREENBRIAR,GRE,04/01/2008 12:00:00 AM,993,484,2.05
HAYSBORO,HAY,04/01/2017 12:00:00 AM,7076,3417,2
BELVEDERE,BVD,04/01/2000 12:00:00 AM,0,0,0
EVERGREEN,EVE,04/01/2002 12:00:00 AM,3130,1002,3.12
GARRISON GREEN,GAG,04/01/1998 12:00:00 AM,365,132,2.77
NORTH HAVEN UPPER,NHU,04/01/1994 12:00:00 AM,743,246,3.02
SUNNYSIDE,SSD,04/01/2010 12:00:00 AM,3633,2165,1.68
DOWNTOWN WEST END,DNW,04/01/1971 12:00:00 AM,980,381,2.57
CRESTMONT,CRM,04/01/2014 12:00:00 AM,1514,460,3.29
FOREST LAWN,FLN,04/01/1978 12:00:00 AM,8950,2745,3.26
HAMPTONS,HAM,04/01/2014 12:00:00 AM,7775,2443,3.18
ROSEDALE,RDL,04/01/2012 12:00:00 AM,1569,593,2.65
MCKENZIE LAKE,MCK,04/01/2010 12:00:00 AM,14189,4554,3.12
COUNTRY HILLS,COU,04/01/1983 12:00:00 AM,0,0,0
WEST HILLHURST,WHL,04/01/1982 12:00:00 AM,5303,2380,2.23
SCARBORO/ SUNALTA WEST,SSW,04/01/1988 12:00:00 AM,405,164,2.47
QUEENS PARK VILLAGE,QPK,04/01/1980 12:00:00 AM,0,0,0
SHAWNESSY,SHN,04/01/1984 12:00:00 AM,2218,737,3.01
PALLISER,PAL,04/01/1981 12:00:00 AM,3229,1283,2.52
CLIFF BUNGALOW,CLI,04/01/2000 12:00:00 AM,1999,1285,1.56
CASTLERIDGE,CAS,04/01/2007 12:00:00 AM,6237,1832,3.4
MONTEREY PARK,MOR,04/01/1989 12:00:00 AM,1102,356,3.1
ROCKY RIDGE,ROC,04/01/1997 12:00:00 AM,388,143,2.71
PARKDALE,PKD,04/01/1968 12:00:00 AM,2581,728,3.55
RIVERBEND,RIV,04/01/1998 12:00:00 AM,10400,3381,3.08
COUNTRY HILLS,COU,04/01/2010 12:00:00 AM,3674,1400,2.62
FOREST HEIGHTS,FHT,04/01/2002 12:00:00 AM,6640,2061,3.22
SCENIC ACRES,SCE,04/01/1981 12:00:00 AM,0,0,0
ROYAL OAK,ROY,04/01/1993 12:00:00 AM,55,24,2.29
LAKE BONAVISTA,LKB,04/01/1992 12:00:00 AM,11974,3627,3.3
BOWNESS,BOW,04/01/1983 12:00:00 AM,12553,4493,2.79
COVENTRY HILLS,COV,04/01/1980 12:00:00 AM,0,0,0
SIGNAL HILL,SIG,04/01/1990 12:00:00 AM,1621,510,3.18
SIGNAL HILL,SIG,04/01/1976 12:00:00 AM,57,19,3
CHRISTIE PARK,CHR,04/01/1973 12:00:00 AM,36,8,4.5
SUNALTA,SNA,04/01/1969 12:00:00 AM,2937,1148,2.56
RAMSAY,RAM,04/01/1983 12:00:00 AM,2353,1032,2.28
ROSEMONT,RMT,04/01/2010 12:00:00 AM,1234,529,2.33
DALHOUSIE,DAL,04/01/2004 12:00:00 AM,9021,3581,2.52
SHERWOOD,SHW,04/01/1978 12:00:00 AM,0,0,0
CHARLESWOOD/COLLINGWOOD,,04/01/1979 12:00:00 AM,7520,2365,3.18
BRIDLEWOOD,BRI,04/01/2008 12:00:00 AM,9967,3460,2.88
ERIN WOODS,ERI,04/01/1998 12:00:00 AM,6385,1973,3.24
SOUTH CALGARY,SOC,04/01/2012 12:00:00 AM,3698,2015,1.84
LEGACY,LEG,04/01/2011 12:00:00 AM,11,4,2.75
LAKE BONAVISTA,LKB,04/01/1976 12:00:00 AM,10901,2711,4.02
OGDEN,OGD,04/01/2010 12:00:00 AM,8554,3626,2.36
DOVER,DOV,04/01/1975 12:00:00 AM,9128,2462,3.71
PINERIDGE,PIN,04/01/1978 12:00:00 AM,6625,2009,3.3
BAYVIEW,BYV,04/01/1986 12:00:00 AM,759,237,3.2
BRENTWOOD,BRE,04/01/2003 12:00:00 AM,6265,2453,2.55
GREENWOOD/GREENBRIAR,GRE,04/01/1994 12:00:00 AM,926,428,2.16
ASPEN WOODS,ASP,04/01/1995 12:00:00 AM,0,0,0
DISCOVERY RIDGE,DIS,04/01/2004 12:00:00 AM,1898,629,3.02
SILVERADO,SVO,04/01/2002 12:00:00 AM,33,13,2.54
CHARLESWOOD/COLLINGWOOD,,04/01/1999 12:00:00 AM,6026,2416,2.49
NORTH HAVEN,NHV,04/01/1977 12:00:00 AM,2787,773,3.61
MACEWAN GLEN,MAC,04/01/2001 12:00:00 AM,5660,1760,3.22
ERIN WOODS,ERI,04/01/2010 12:00:00 AM,6876,2348,2.93
THORNCLIFFE,THO,04/01/1976 12:00:00 AM,10314,3099,3.33
DOVER,DOV,04/01/2005 12:00:00 AM,10227,4132,2.48
PARKLAND,PKL,04/01/2002 12:00:00 AM,4179,1412,2.96
CRESCENT HEIGHTS,CRE,04/01/1988 12:00:00 AM,5725,3249,1.76
GARRISON GREEN,GAG,04/01/1984 12:00:00 AM,711,215,3.31
COUNTRY HILLS VILLAGE,CHV,04/01/2009 12:00:00 AM,2211,1199,1.84
WHITEHORN,WHI,04/01/1976 12:00:00 AM,2101,655,3.21
WINSTON HEIGHTS/MOUNTVIEW,WIN,04/01/1977 12:00:00 AM,4141,1513,2.74
EDGEMONT,EDG,04/01/2011 12:00:00 AM,16082,5304,3.03
APPLEWOOD PARK,APP,04/01/2016 12:00:00 AM,6764,2120,3.19
PATTERSON,PAT,04/01/1972 12:00:00 AM,124,34,3.65
BEL-AIRE,BEL,04/01/1968 12:00:00 AM,534,117,4.56
NOLAN HILL,NOL,04/01/1992 12:00:00 AM,0,0,0
BEDDINGTON HEIGHTS,BED,04/01/1978 12:00:00 AM,12,3,4
NEW BRIGHTON,NEB,04/01/2013 12:00:00 AM,9715,3385,2.87
RUTLAND PARK,RUT,04/01/1995 12:00:00 AM,2495,943,2.65
PARKHILL,PKH,04/01/2007 12:00:00 AM,1545,776,1.99
MACEWAN GLEN,MAC,04/01/1978 12:00:00 AM,0,0,0
CAMBRIAN HEIGHTS,CAM,04/01/2001 12:00:00 AM,2104,884,2.38
RENFREW,REN,04/01/1984 12:00:00 AM,5612,2592,2.17
COVENTRY HILLS,COV,04/01/1988 12:00:00 AM,0,0,0
LINCOLN PARK,LPK,04/01/1999 12:00:00 AM,1449,693,2.09
RANCHLANDS,RAN,04/01/1985 12:00:00 AM,8367,2764,3.03
ROXBORO,ROX,04/01/1982 12:00:00 AM,450,161,2.8
SILVERADO,SVO,04/01/1988 12:00:00 AM,0,0,0
ELBOYA,EYA,04/01/1991 12:00:00 AM,1705,718,2.37
PARKDALE,PKD,04/01/1969 12:00:00 AM,2535,720,3.52
NOLAN HILL,NOL,04/01/1974 12:00:00 AM,0,0,0
RANCHLANDS,RAN,04/01/1981 12:00:00 AM,6569,2268,2.9
SOUTHVIEW,SOV,04/01/2017 12:00:00 AM,1841,776,2.37
MONTGOMERY,MON,04/01/2000 12:00:00 AM,4057,1605,2.53
VARSITY,VAR,04/01/1979 12:00:00 AM,13001,4178,3.11
INGLEWOOD,ING,04/01/2005 12:00:00 AM,3306,1766,1.87
BELVEDERE,BVD,04/01/2017 12:00:00 AM,46,14,3.29
ROCKY RIDGE,ROC,04/01/1973 12:00:00 AM,0,0,0
BOWNESS,BOW,04/01/1973 12:00:00 AM,11450,3159,3.62
ELBOYA,EYA,04/01/1984 12:00:00 AM,1402,565,2.48
TUSCANY,TUS,04/01/1998 12:00:00 AM,1602,568,2.82
NORTH HAVEN,NHV,04/01/1995 12:00:00 AM,2453,938,2.62
FAIRVIEW,FAI,04/01/1975 12:00:00 AM,5510,1541,3.58
UNIVERSITY OF CALGARY,UOC,04/01/2010 12:00:00 AM,2294,685,3.35
HARVEST HILLS,HAR,04/01/1991 12:00:00 AM,445,137,3.25
KELVIN GROVE,KEL,04/01/2007 12:00:00 AM,2301,879,2.62
CHARLESWOOD/COLLINGWOOD,,04/01/1984 12:00:00 AM,6616,2345,2.82
MONTEREY PARK,MOR,04/01/1972 12:00:00 AM,0,0,0
MARTINDALE,MRT,04/01/1985 12:00:00 AM,424,143,2.97
OAKRIDGE,OAK,04/01/1992 12:00:00 AM,7020,2251,3.12
BRIDLEWOOD,BRI,04/01/2016 12:00:00 AM,12711,4114,3.09
HAYSBORO,HAY,04/01/1968 12:00:00 AM,8044,1831,4
HIGHLAND PARK,HPK,04/01/1996 12:00:00 AM,3651,1809,2.02
RAMSAY,RAM,04/01/1980 12:00:00 AM,2405,984,2.44
WESTGATE,WGT,04/01/2011 12:00:00 AM,3101,1288,2.41
COUNTRY HILLS VILLAGE,CHV,04/01/1972 12:00:00 AM,0,0,0
ROSEDALE,RDL,04/01/1996 12:00:00 AM,1637,640,2.56
ASPEN WOODS,ASP,04/01/2008 12:00:00 AM,2054,634,3.24
MACEWAN GLEN,MAC,04/01/1985 12:00:00 AM,1531,527,2.91
ASPEN WOODS,ASP,04/01/2015 12:00:00 AM,8271,2636,3.14
SOUTHWOOD,SOW,04/01/1972 12:00:00 AM,5886,1403,4.2
RUTLAND PARK,RUT,04/01/1976 12:00:00 AM,3090,846,3.65
SILVER SPRINGS,SIL,04/01/2000 12:00:00 AM,10043,3465,2.9
EAU CLAIRE,EAU,04/01/2009 12:00:00 AM,1716,1041,1.65
GARRISON WOODS,GAW,04/01/1968 12:00:00 AM,0,0,0
ROSEMONT,RMT,04/01/1968 12:00:00 AM,1864,501,3.72
COUNTRY HILLS,COU,04/01/2014 12:00:00 AM,3787,1406,2.69
MAYFAIR,MAF,04/01/1990 12:00:00 AM,581,186,3.12
WESTGATE,WGT,04/01/1978 12:00:00 AM,3623,1071,3.38
SUNALTA,SNA,04/01/1986 12:00:00 AM,2845,1786,1.59
WHITEHORN,WHI,04/01/1989 12:00:00 AM,11790,3312,3.56
NOLAN HILL,NOL,04/01/2015 12:00:00 AM,1723,558,3.09
CORNERSTONE,CNS,04/01/1991 12:00:00 AM,0,0,0
RENFREW,REN,04/01/1989 12:00:00 AM,5051,2449,2.06
MANCHESTER,MAN,04/01/1998 12:00:00 AM,271,160,1.69
SUNALTA,SNA,04/01/2006 12:00:00 AM,3354,1996,1.68
MAHOGANY,MAH,04/01/1973 12:00:00 AM,0,0,0
VISTA HEIGHTS,VIS,04/01/1979 12:00:00 AM,1825,536,3.4
UNIVERSITY OF CALGARY,UOC,04/01/2017 12:00:00 AM,2057,9,228.56
SCARBORO,SCA,04/01/2015 12:00:00 AM,917,324,2.83
CHAPARRAL,CHA,04/01/1972 12:00:00 AM,0,0,0
PARKLAND,PKL,04/01/1975 12:00:00 AM,1668,475,3.51
MISSION,MIS,04/01/2011 12:00:00 AM,4363,3054,1.43
GARRISON WOODS,GAW,04/01/1973 12:00:00 AM,0,0,0
QUEENS PARK VILLAGE,QPK,04/01/2015 12:00:00 AM,486,184,2.64
LOWER MOUNT ROYAL,LMR,04/01/1999 12:00:00 AM,3082,2065,1.49
CHINATOWN,CHN,04/01/1969 12:00:00 AM,873,309,2.83
BRAESIDE,BRA,04/01/2011 12:00:00 AM,5978,2478,2.41
BRIDLEWOOD,BRI,04/01/2010 12:00:00 AM,11317,3924,2.88
MONTGOMERY,MON,04/01/1993 12:00:00 AM,4056,1601,2.53
RUNDLE,RUN,04/01/2009 12:00:00 AM,11252,3649,3.08
GLENDALE,GDL,04/01/1992 12:00:00 AM,2804,1074,2.61
SPRUCE CLIFF,SPR,04/01/2005 12:00:00 AM,2859,1313,2.18
SHAWNESSY,SHN,04/01/1980 12:00:00 AM,0,0,0
SHAWNESSY,SHN,04/01/1983 12:00:00 AM,1803,616,2.93
GREENWOOD/GREENBRIAR,GRE,04/01/1979 12:00:00 AM,1197,472,2.54
SUNNYSIDE,SSD,04/01/2000 12:00:00 AM,3729,2219,1.68
MARTINDALE,MRT,04/01/2007 12:00:00 AM,12126,3500,3.46
GARRISON GREEN,GAG,04/01/2002 12:00:00 AM,666,213,3.13
DALHOUSIE,DAL,04/01/2013 12:00:00 AM,9075,3630,2.5
ROSEDALE,RDL,04/01/1988 12:00:00 AM,1587,654,2.43
HAMPTONS,HAM,04/01/1969 12:00:00 AM,0,0,0
WINSTON HEIGHTS/MOUNTVIEW,WIN,04/01/2000 12:00:00 AM,3744,1655,2.26
CLIFF BUNGALOW,CLI,04/01/1974 12:00:00 AM,2049,1088,1.88
UNIVERSITY HEIGHTS,UNI,04/01/2010 12:00:00 AM,3006,1347,2.23
CAMBRIAN HEIGHTS,CAM,04/01/1985 12:00:00 AM,2293,894,2.56
COPPERFIELD,CPF,04/01/2017 12:00:00 AM,13017,4715,2.76
RENFREW,REN,04/01/1982 12:00:00 AM,6151,2654,2.32
ROSEDALE,RDL,04/01/2010 12:00:00 AM,1528,590,2.59
ROSSCARROCK,RCK,04/01/1993 12:00:00 AM,3293,1427,2.31
CHRISTIE PARK,CHR,04/01/2005 12:00:00 AM,2241,716,3.13
WEST SPRINGS,WSP,04/01/2017 12:00:00 AM,10031,3131,3.2
SOMERSET,SOM,04/01/1968 12:00:00 AM,0,0,0
UNIVERSITY HEIGHTS,UNI,04/01/1988 12:00:00 AM,2974,1292,2.3
PENBROOKE MEADOWS,PEN,04/01/1978 12:00:00 AM,9348,2526,3.7
TUSCANY,TUS,04/01/1983 12:00:00 AM,0,0,0
DIAMOND COVE,DIA,04/01/2015 12:00:00 AM,711,270,2.63
SPRINGBANK HILL,SPH,04/01/1997 12:00:00 AM,453,143,3.17
MOUNT PLEASANT,MOP,04/01/1971 12:00:00 AM,5673,2108,2.69
ELBOYA,EYA,04/01/2015 12:00:00 AM,1849,726,2.55
SOUTH CALGARY,SOC,04/01/2001 12:00:00 AM,3485,1795,1.94
UNIVERSITY OF CALGARY,UOC,04/01/2000 12:00:00 AM,2352,1071,2.2
LAKEVIEW,LKV,04/01/2007 12:00:00 AM,5610,2298,2.44
CORAL SPRINGS,COR,04/01/1981 12:00:00 AM,0,0,0
OGDEN,OGD,04/01/1989 12:00:00 AM,10628,3717,2.86
GLENDALE,GDL,04/01/2007 12:00:00 AM,2764,1082,2.55
CANYON MEADOWS,CAN,04/01/1970 12:00:00 AM,810,200,4.05
GARRISON WOODS,GAW,04/01/2010 12:00:00 AM,0,0,0
MILLRISE,MLR,04/01/2009 12:00:00 AM,6746,2451,2.75
SOMERSET,SOM,04/01/1975 12:00:00 AM,0,0,0
PARKDALE,PKD,04/01/1993 12:00:00 AM,1710,809,2.11
DEER RUN,DRN,04/01/1969 12:00:00 AM,0,0,0
WOODLANDS,WOO,04/01/1974 12:00:00 AM,90,3,30
FAIRVIEW,FAI,04/01/1973 12:00:00 AM,5817,1510,3.85
MAHOGANY,MAH,04/01/1999 12:00:00 AM,0,0,0
CURRIE BARRACKS,CUR,04/01/1999 12:00:00 AM,140,,
SOUTHVIEW,SOV,04/01/2008 12:00:00 AM,2096,848,2.47
SCARBORO/ SUNALTA WEST,SSW,04/01/1976 12:00:00 AM,501,166,3.02
DOWNTOWN COMMERCIAL CORE,DNC,04/01/1990 12:00:00 AM,6292,4453,1.41
CRANSTON,CRA,04/01/1983 12:00:00 AM,0,0,0
ROSEDALE,RDL,04/01/2007 12:00:00 AM,1586,584,2.72
SKYVIEW RANCH,SKR,04/01/1990 12:00:00 AM,0,0,0
UNIVERSITY OF CALGARY,UOC,04/01/1987 12:00:00 AM,1603,469,3.42
ROSEMONT,RMT,04/01/1973 12:00:00 AM,1723,507,3.4
DIAMOND COVE,DIA,04/01/2009 12:00:00 AM,766,270,2.84
EDGEMONT,EDG,04/01/2000 12:00:00 AM,16788,5049,3.33
HUNTINGTON HILLS,HUN,04/01/1979 12:00:00 AM,15279,4383,3.49
ROYAL OAK,ROY,04/01/2016 12:00:00 AM,11705,4003,2.92
ST. ANDREWS HEIGHTS,STA,04/01/1975 12:00:00 AM,2222,626,3.55
COUGAR RIDGE,CGR,04/01/2011 12:00:00 AM,5813,1874,3.1
HAMPTONS,HAM,04/01/1979 12:00:00 AM,0,0,0
ALBERT PARK/RADISSON HEIGHTS,ALB,04/01/2012 12:00:00 AM,6234,2546,2.45
SCENIC ACRES,SCE,04/01/1969 12:00:00 AM,0,0,0
VALLEY RIDGE,VAL,04/01/1993 12:00:00 AM,149,49,3.04
CITADEL,CIT,04/01/1989 12:00:00 AM,0,0,0
EAU CLAIRE,EAU,04/01/2013 12:00:00 AM,1739,1146,1.52
WOODBINE,WBN,04/01/2003 12:00:00 AM,10529,3332,3.16
SOUTHVIEW,SOV,04/01/1979 12:00:00 AM,2551,774,3.3
BRIDLEWOOD,BRI,04/01/2007 12:00:00 AM,8929,3107,2.87
PATTERSON,PAT,04/01/2008 12:00:00 AM,4179,1910,2.19
GLENBROOK,GBK,04/01/1977 12:00:00 AM,6085,1910,3.19
EDGEMONT,EDG,04/01/2004 12:00:00 AM,17274,5316,3.25
SUNALTA,SNA,04/01/1983 12:00:00 AM,2802,1596,1.76
APPLEWOOD PARK,APP,04/01/2003 12:00:00 AM,5448,1457,3.74
GREENWOOD/GREENBRIAR,GRE,04/01/2005 12:00:00 AM,953,460,2.07
COPPERFIELD,CPF,04/01/2010 12:00:00 AM,6428,2296,2.8
CRESTMONT,CRM,04/01/1984 12:00:00 AM,0,0,0
VALLEY RIDGE,VAL,04/01/2002 12:00:00 AM,3589,1180,3.04
BANKVIEW,BNK,04/01/2017 12:00:00 AM,5090,3046,1.67
BRIDLEWOOD,BRI,04/01/1995 12:00:00 AM,25,9,2.78
LINCOLN PARK,LPK,04/01/1988 12:00:00 AM,324,167,1.94
MCKENZIE LAKE,MCK,04/01/1981 12:00:00 AM,0,0,0
PINERIDGE,PIN,04/01/1996 12:00:00 AM,10076,3314,3.04
SILVERADO,SVO,04/01/2010 12:00:00 AM,3355,1193,2.81
OGDEN,OGD,04/01/1974 12:00:00 AM,6198,1790,3.46
HAWKWOOD,HAW,04/01/2004 12:00:00 AM,10812,3291,3.29
GARRISON GREEN,GAG,04/01/1969 12:00:00 AM,1024,234,4.38
SANDSTONE VALLEY,SAN,04/01/1997 12:00:00 AM,6923,2056,3.37
UPPER MOUNT ROYAL,UMR,04/01/2005 12:00:00 AM,2628,1011,2.6
HAMPTONS,HAM,04/01/2010 12:00:00 AM,7991,2446,3.27
SHERWOOD,SHW,04/01/1974 12:00:00 AM,0,0,0
ALTADORE,ALT,04/01/2005 12:00:00 AM,7894,3817,2.07
ROCKY RIDGE,ROC,04/01/1996 12:00:00 AM,179,64,2.8
BAYVIEW,BYV,04/01/1974 12:00:00 AM,698,165,4.23
LEGACY,LEG,04/01/1981 12:00:00 AM,0,0,0
SPRUCE CLIFF,SPR,04/01/1969 12:00:00 AM,3532,1068,3.31
ACADIA,ACA,04/01/2017 12:00:00 AM,10660,4738,2.25
KELVIN GROVE,KEL,04/01/1999 12:00:00 AM,2219,891,2.49
GLENDALE,GDL,04/01/1976 12:00:00 AM,3297,959,3.44
FOREST LAWN,FLN,04/01/2000 12:00:00 AM,8260,3038,2.72
