name,comm_code,census_year,population,occupied dwellings,persons per unit
ABBEYDALE,ABB,04/01/1993 12:00:00 AM,6711,1912,3.51
CHARLESWOOD/COLLINGWOOD,,04/01/1988 12:00:00 AM,6198,2371,2.61
SANDSTONE VALLEY,SAN,04/01/1968 12:00:00 AM,0,0,0
COPPERFIELD,CPF,04/01/2001 12:00:00 AM,0,0,0
GLENDALE,GDL,04/01/1977 12:00:00 AM,3243,961,3.37
GREENWOOD/GREENBRIAR,GRE,04/01/1989 12:00:00 AM,972,447,2.17
ELBOW PARK,EPK,04/01/2003 12:00:00 AM,3458,1155,2.99
MAHOGANY,MAH,04/01/2013 12:00:00 AM,1917,606,3.16
NOLAN HILL,NOL,04/01/2005 12:00:00 AM,11,3,3.67
COVENTRY HILLS,COV,04/01/1982 12:00:00 AM,0,0,0
CHRISTIE PARK,CHR,04/01/1981 12:00:00 AM,24,7,3.43
COUGAR RIDGE,CGR,04/01/2005 12:00:00 AM,3174,1176,2.7
ROYAL OAK,ROY,04/01/1999 12:00:00 AM,241,88,2.74
ABBEYDALE,ABB,04/01/1978 12:00:00 AM,227,80,2.84
CHRISTIE PARK,CHR,04/01/1972 12:00:00 AM,32,8,4
DOVER,DOV,04/01/1988 12:00:00 AM,11223,3540,3.17
VISTA HEIGHTS,VIS,04/01/2005 12:00:00 AM,2115,741,2.85
SOMERSET,SOM,04/01/1976 12:00:00 AM,0,0,0
SPRUCE CLIFF,SPR,04/01/1978 12:00:00 AM,3408,1294,2.63
RUTLAND PARK,RUT,04/01/1977 12:00:00 AM,3077,847,3.63
CAMBRIAN HEIGHTS,CAM,04/01/1993 12:00:00 AM,2168,890,2.44
LAKEVIEW,LKV,04/01/2011 12:00:00 AM,5501,2275,2.42
CLIFF BUNGALOW,CLI,04/01/2009 12:00:00 AM,1763,1136,1.55
ELBOYA,EYA,04/01/2011 12:00:00 AM,1747,729,2.4
HOUNSFIELD HEIGHTS/BRIAR HILL,HOU,04/01/1991 12:00:00 AM,2159,888,2.43
SPRINGBANK HILL,SPH,04/01/1989 12:00:00 AM,0,0,0
COUGAR RIDGE,CGR,04/01/2013 12:00:00 AM,6108,1896,3.22
WALDEN,WAL,04/01/1993 12:00:00 AM,0,0,0
FALCONRIDGE,FAL,04/01/2001 12:00:00 AM,10682,3182,3.36
EVANSTON,EVN,04/01/2005 12:00:00 AM,1665,590,2.82
CHRISTIE PARK,CHR,04/01/2016 12:00:00 AM,2153,719,2.99
MIDNAPORE,MID,04/01/1997 12:00:00 AM,7366,2485,2.96
HIDDEN VALLEY,HID,04/01/2003 12:00:00 AM,11296,3640,3.1
BANKVIEW,BNK,04/01/1988 12:00:00 AM,5100,3101,1.64
MAYFAIR,MAF,04/01/1982 12:00:00 AM,649,185,3.51
CRESCENT HEIGHTS,CRE,04/01/1996 12:00:00 AM,5553,3225,1.72
AUBURN BAY,AUB,04/01/2014 12:00:00 AM,11127,3664,3.04
LEGACY,LEG,04/01/2013 12:00:00 AM,0,0,0
SPRINGBANK HILL,SPH,04/01/1973 12:00:00 AM,0,0,0
EAGLE RIDGE,EAG,04/01/1979 12:00:00 AM,577,108,5.34
MILLRISE,MLR,04/01/1969 12:00:00 AM,56,14,4
THORNCLIFFE,THO,04/01/2005 12:00:00 AM,8812,3591,2.45
CRESCENT HEIGHTS,CRE,04/01/1999 12:00:00 AM,5739,3273,1.75
HIDDEN VALLEY,HID,04/01/1996 12:00:00 AM,3501,1166,3
BEL-AIRE,BEL,04/01/1988 12:00:00 AM,498,153,3.25
MARTINDALE,MRT,04/01/2002 12:00:00 AM,10285,3161,3.25
GLAMORGAN,GLA,04/01/1990 12:00:00 AM,6670,2801,2.38
WILLOW PARK,WIL,04/01/1972 12:00:00 AM,6952,1713,4.06
COPPERFIELD,CPF,04/01/1972 12:00:00 AM,0,0,0
HARVEST HILLS,HAR,04/01/1987 12:00:00 AM,0,0,0
BEL-AIRE,BEL,04/01/1977 12:00:00 AM,499,137,3.64
SETON,SET,04/01/1996 12:00:00 AM,0,0,0
WINSTON HEIGHTS/MOUNTVIEW,WIN,04/01/1981 12:00:00 AM,4094,1560,2.62
CLIFF BUNGALOW,CLI,04/01/2002 12:00:00 AM,1998,1294,1.54
SOUTHVIEW,SOV,04/01/2016 12:00:00 AM,1845,761,2.42
PALLISER,PAL,04/01/2003 12:00:00 AM,3135,1576,1.99
